id,lat,lon,name,type
72,7.894445153687518,98.31003874540329,pt_50y_rd_4,plastic
73,7.894486998114363,98.31003673374653,pt_50y_rd_5,plastic
77,7.888726375498391,98.30755669623613,pt_50y_rd_9,plastic
78,7.888637703924558,98.30767069011927,pt_50y_rd_10.1,plastic
79,7.888637703924558,98.30767069011927,pt_50y_rd_10.2,plastic
80,7.8871312805739,98.30704506486654,pt_50y_rd_11,plastic
81,7.884907502742664,98.30624777823687,pt_50y_rd_12.1,plastic
82,7.884907502742664,98.30624777823687,pt_50y_rd_12.2,plastic
86,7.878881057877059,98.30711346119642,pt_50y_rd_16,plastic
87,7.878658543353843,98.30731730908155,pt_50y_rd_17.1,plastic
88,7.878658543353843,98.30731730908155,pt_50y_rd_17.2,plastic
89,7.876345381563518,98.30661959946156,pt_50y_rd_18,plastic
90,7.876355677071756,98.3066226169467,pt_50y_rd_19,plastic
91,7.876630334568019,98.30456703901291,pt_50y_rd_20.1,plastic
71,7.895500893923401,98.31064458936453,pt_50y_rd_3,plastic
105,7.885921,98.288713,pt_beach_1.4,plastic
108,7.886257,98.289613,pt_beach_2.3,plastic
69,7.895748306705823,98.31080216914415,pt_50y_rd_1.2,plastic
84,7.87983687263307,98.30633495002985,pt_50y_rd_14,plastic
68,7.895748306705823,98.31080216914415,pt_50y_rd_1.1,plastic
109,7.886257,98.289613,pt_beach_2.4,plastic
110,7.887589,98.291302,pt_beach_3.1,plastic
111,7.887589,98.291302,pt_beach_3.2,plastic
112,7.887589,98.291302,pt_beach_3.3,plastic
114,7.888508,98.292025,pt_beach_4.1,plastic
115,7.888508,98.292025,pt_beach_4.2,plastic
116,7.888508,98.292025,pt_beach_4.3,plastic
117,7.888508,98.292025,pt_beach_4.4,plastic
119,7.889148,98.292449,pt_beach_5.2,plastic
120,7.889148,98.292449,pt_beach_5.3,plastic
121,7.889148,98.292449,pt_beach_5.4,plastic
123,7.889437,98.292666,pt_beach_6.2,plastic
124,7.889437,98.292666,pt_beach_6.3,plastic
125,7.889437,98.292666,pt_beach_6.4,plastic
131,7.891053,98.293629,pt_beach_8.2,plastic
132,7.891053,98.293629,pt_beach_8.3,plastic
133,7.891053,98.293629,pt_beach_8.4,plastic
134,7.892389,98.294246,pt_beach_9.1,plastic
94,7.877487849303153,98.30740481615067,pt_50y_rd_21.1,plastic
104,7.885921,98.288713,pt_beach_1.3,plastic
95,7.877487849303153,98.30740481615067,pt_50y_rd_21.2,plastic
96,7.876531697011718,98.30449562519789,pt_50y_rd_22.1,plastic
97,7.876531697011718,98.30449562519789,pt_50y_rd_22.2,plastic
98,7.876531697011718,98.30449562519789,pt_50y_rd_22.3,plastic
99,7.876531697011718,98.30449562519789,pt_50y_rd_22.4,plastic
129,7.890359,98.293248,pt_beach_7.4,plastic
128,7.890359,98.293248,pt_beach_7.3,plastic
93,7.876630334568019,98.30456703901291,pt_50y_rd_20.3,plastic
126,7.890359,98.293248,pt_beach_7.1,plastic
101,7.880137100301121,98.29959657043219,pt_50y_rd_24,plastic
136,7.892389,98.294246,pt_beach_9.3,plastic
138,7.892901,98.29451,pt_beach_10.1,plastic
139,7.892901,98.29451,pt_beach_10.2,plastic
140,7.892901,98.29451,pt_beach_10.3,plastic
142,7.900081,98.296829,pt_beach_11.1,plastic
143,7.900081,98.296829,pt_beach_11.2,plastic
144,7.900081,98.296829,pt_beach_11.3,plastic
145,7.900081,98.296829,pt_beach_11.4,plastic
147,7.902631,98.296993,pt_beach_12.2,plastic
148,7.902631,98.296993,pt_beach_12.3,plastic
149,7.902631,98.296993,pt_beach_12.4,plastic
151,7.911455,98.294687,pt_beach_13.2,plastic
152,7.911455,98.294687,pt_beach_13.3,plastic
153,7.911455,98.294687,pt_beach_13.4,plastic
155,7.914664,98.292784,pt_beach_14.2,plastic
156,7.914664,98.292784,pt_beach_14.3,plastic
135,7.892389,98.294246,pt_beach_9.2,plastic
102,7.885921,98.288713,pt_beach_1.1,plastic
103,7.885921,98.288713,pt_beach_1.2,plastic
106,7.886257,98.289613,pt_beach_2.1,plastic
113,7.887589,98.291302,pt_beach_3.4,plastic
118,7.889148,98.292449,pt_beach_5.1,plastic
107,7.886257,98.289613,pt_beach_2.2,plastic
122,7.889437,98.292666,pt_beach_6.1,plastic
130,7.891053,98.293629,pt_beach_8.1,plastic
137,7.892389,98.294246,pt_beach_9.4,plastic
146,7.902631,98.296993,pt_beach_12.1,plastic
150,7.911455,98.294687,pt_beach_13.1,plastic
127,7.890359,98.293248,pt_beach_7.2,plastic
100,7.876630334568019,98.30456703901291,pt_50y_rd_23,plastic
154,7.914664,98.292784,pt_beach_14.1,plastic
157,7.914664,98.292784,pt_beach_14.4,plastic
70,7.895497572945437,98.31064961850643,pt_50y_rd_2,plastic
92,7.876630334568019,98.30456703901291,pt_50y_rd_20.2,plastic
75,7.893885567095913,98.30944865942001,pt_50y_rd_7,plastic
74,7.894140287021195,98.30959618091583,pt_50y_rd_6,plastic
76,7.885653080722254,98.30634970217943,pt_50y_rd_8,plastic
141,7.892901,98.29451,pt_beach_10.4,plastic
85,7.879208187220188,98.30679528415203,pt_50y_rd_15,plastic
83,7.884022438497063,98.30547966063023,pt_50y_rd_13,plastic
